158913789952,TYPE,ANY,ANY,ANY
158913789953,TYPE,char*,char*,char*
158913789954,TYPE,char[]*,char[]*,char[]*
158913789955,TYPE,int,int,int
158913789956,TYPE,main,main,main
158913789957,TYPE,void,void,void
