115964116992,METHOD_PARAMETER_OUT,int argc,10,BY_VALUE,1,false,5,argc,,,1,int
115964116993,METHOD_PARAMETER_OUT,char *argv[],20,BY_VALUE,2,false,5,argv,,,2,char[]*
115964116994,METHOD_PARAMETER_OUT,p1,,BY_VALUE,1,false,,p1,,,1,ANY
115964116995,METHOD_PARAMETER_OUT,p2,,BY_VALUE,2,false,,p2,,,2,ANY
115964116996,METHOD_PARAMETER_OUT,p1,,BY_VALUE,1,false,,p1,,,1,ANY
115964116997,METHOD_PARAMETER_OUT,p2,,BY_VALUE,2,false,,p2,,,2,ANY
115964116998,METHOD_PARAMETER_OUT,p1,,BY_VALUE,1,false,,p1,,,1,ANY
115964116999,METHOD_PARAMETER_OUT,p1,,BY_VALUE,1,false,,p1,,,1,ANY
115964117000,METHOD_PARAMETER_OUT,p2,,BY_VALUE,2,false,,p2,,,2,ANY
115964117001,METHOD_PARAMETER_OUT,p1,,BY_VALUE,1,false,,p1,,,1,ANY
115964117002,METHOD_PARAMETER_OUT,p2,,BY_VALUE,2,false,,p2,,,2,ANY
115964117003,METHOD_PARAMETER_OUT,p1,,BY_VALUE,1,false,,p1,,,1,ANY
115964117004,METHOD_PARAMETER_OUT,p2,,BY_VALUE,2,false,,p2,,,2,ANY
115964117005,METHOD_PARAMETER_OUT,p1,,BY_VALUE,1,false,,p1,,,1,ANY
115964117006,METHOD_PARAMETER_OUT,p2,,BY_VALUE,2,false,,p2,,,2,ANY
115964117007,METHOD_PARAMETER_OUT,p1,,BY_VALUE,1,false,,p1,,,1,ANY
