30064771072,90194313222,DOMINATE
30064771072,68719476738,DOMINATE
30064771073,30064771072,DOMINATE
30064771073,68719476737,DOMINATE
30064771075,90194313219,DOMINATE
30064771076,90194313218,DOMINATE
30064771077,90194313221,DOMINATE
30064771079,90194313223,DOMINATE
30064771080,124554051584,DOMINATE
68719476736,90194313216,DOMINATE
68719476737,90194313217,DOMINATE
68719476738,90194313220,DOMINATE
90194313216,30064771073,DOMINATE
90194313217,30064771076,DOMINATE
90194313218,30064771075,DOMINATE
90194313219,30064771074,DOMINATE
90194313220,30064771077,DOMINATE
90194313221,30064771078,DOMINATE
90194313222,30064771079,DOMINATE
90194313223,30064771080,DOMINATE
107374182400,68719476736,DOMINATE
107374182401,120259084288,DOMINATE
107374182402,124554051586,DOMINATE
107374182403,124554051587,DOMINATE
107374182404,124554051588,DOMINATE
107374182405,124554051589,DOMINATE
107374182406,124554051590,DOMINATE
107374182407,124554051591,DOMINATE
107374182408,124554051592,DOMINATE
107374182409,124554051593,DOMINATE
107374182410,124554051594,DOMINATE
120259084288,124554051585,DOMINATE
